month,year,oilCompanies,quantity000MetricTonnes
November,2020,BPCL-TOTAL,3409
November,2020,"MRPL-MANGALORE,KARNATAKA",1011
November,2020,HPCL-TOTAL,2457
December,2020,"IOCL-BONGAIGAON,ASSAM",204
December,2020,"CPCL-MANALI, TAMILNADU",766
December,2020,"BPCL-MUMBAI, MAHARASHTRA",1200
December,2020,BORL-BINA,625
December,2020,"NRL-NUMALIGARH, ASSAM",260
December,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7
December,2020,"MRPL-MANGALORE,KARNATAKA",1307
December,2020,"HPCL-MUMBAI,MAHARASHTRA",578
December,2020,"NEL-VADINAR,GUJARAT",1544
January,2021,"IOCL-BARAUNI,BIHAR",589
January,2021,"IOCL-PANIPAT, HARYANA",1321
January,2021,"IOCL-GUWAHATI,ASSAM",90
January,2021,"CPCL-MANALI, TAMILNADU",917
January,2021,"HPCL-VISAKH,ANDHRA PRADESH",800
January,2021,"RIL,JAMNAGAR,GUJARAT",2916
February,2021,CPCL-TOTAL,758
February,2021,"BPCL-KOCHI, KERALA",1410
February,2021,BORL-BINA,601
February,2021,"MRPL-MANGALORE,KARNATAKA",1297
February,2021,ONGC TOTAL,1305
February,2021,GRAND TOTAL,18617
March,2021,"IOCL-BONGAIGAON,ASSAM",230
March,2021,"HPCL-VISAKH,ANDHRA PRADESH",867
March,2021,HPCL-TOTAL,2606
September,2022,"CPCL-MANALI, TAMILNADU",961.61
September,2022,"BPCL-MUMBAI, MAHARASHTRA",1261.03
October,2022,"IOCL-KOYALI, GUJARAT",1323.4
October,2022,"IOCL-HALDIA, WEST BENGAL",724.58
October,2022,"IOCL-MATHURA, UTTAR PRADESH",794.59
October,2022,"IOCL-PARADIP,ODISHA",1239.11
October,2022,IOCL TOTAL,6245.22
October,2022,"HPCL-VISAKH,ANDHRA PRADESH",787.49
October,2022,RIL TOTAL,4691.26
November,2022,"IOCL-PARADIP,ODISHA",1330.62
November,2022,BPCL-TOTAL,3289.21
November,2022,"NRL-NUMALIGARH, ASSAM",247
November,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.3
November,2022,"HPCL-MUMBAI,MAHARASHTRA",820.12
November,2022,"RIL,JAMNAGAR,GUJARAT",2555.92
December,2022,"IOCL-GUWAHATI,ASSAM",73.44
December,2022,"IOCL-PARADIP,ODISHA",1416.58
December,2022,"NRL-NUMALIGARH, ASSAM",271.76
December,2022,"HPCL-MUMBAI,MAHARASHTRA",850.56
December,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1116.44
